id,name,bic
Bank ABN AMRO,Bank ABN AMRO,52
Bank Agroniaga,Bank Agroniaga,494
Bank Arta Niaga Kencana,Bank Arta Niaga Kencana,20
Bank Artha Graha,Bank Artha Graha,37
Bank Artos Indonesia,Bank Artos Indonesia,542
Bank BCA,Bank BCA,14
Bank Bengkulu,Bank Bengkulu,133
Bank BII,Bank BII,16
Bank BNI,Bank BNI,9
Bank BPD Aceh,Bank BPD Aceh,116
Bank BPD Bali,Bank BPD Bali,129
Bank BPD DIY,Bank BPD DIY,112
Bank BPD Jambi,Bank BPD Jambi,115
Bank BPD Kalteng,Bank BPD Kalteng,125
Bank BPD Kaltim,Bank BPD Kaltim,124
Bank BPD NTB,Bank BPD NTB,128
Bank BRI,Bank BRI,2
Bank Bukopin,Bank Bukopin,441
Bank Bumi Arta,Bank Bumi Arta,76
Bank Bumiputera,Bank Bumiputera,485
Bank Commonwealth,Bank Commonwealth,950
Bank Danamon,Bank Danamon,11
Bank DKI,Bank DKI,111
Bank Ekonomi,Bank Ekonomi,87
Bank Eksekutif,Bank Eksekutif,558
Bank Eksekutif (BPR KS),Bank Eksekutif (BPR KS),558
Bank Ganesha,Bank Ganesha,161
Bank Haga,Bank Haga,89
Bank Harda,Bank Harda,567
Bank IFI,Bank IFI,93
Bank Ina Perdana,Bank Ina Perdana,513
Bank Jabar,Bank Jabar,110
Bank Jasa Jakarta,Bank Jasa Jakarta,427
Bank Jateng,Bank Jateng,113
Bank Jatim,Bank Jatim,114
Bank Kalsel,Bank Kalsel,122
Bank Kesawan,Bank Kesawan,167
Bank Lampung,Bank Lampung,121
Bank Lippo,Bank Lippo,26
Bank Maluku,Bank Maluku,131
Bank Mandiri,Bank Mandiri,8
Bank Maspion,Bank Maspion,157
Bank Mayapada,Bank Mayapada,97
Bank Mayora,Bank Mayora,553
Bank Mega,Bank Mega,426
Bank Mestika,Bank Mestika,151
Bank Muamalat,Bank Muamalat,147
Bank Nagari,Bank Nagari,118
Bank Niaga,Bank Niaga,22
Bank NISP,Bank NISP,28
Bank NTT,Bank NTT,130
Bank Nusantara Parahyangan,Bank Nusantara Parahyangan,145
Bank Panin,Bank Panin,19
Bank Papua,Bank Papua,132
Bank Permata,Bank Permata,13
Bank Riau,Bank Riau,119
Bank Saudara HS 1906,Bank Saudara HS 1906,212
Bank Sulsel,Bank Sulsel,126
Bank Sultra,Bank Sultra,135
Bank Sulut,Bank Sulut,127
Bank Sumsel,Bank Sumsel,120
Bank Sumut,Bank Sumut,117
Bank Swadesi,Bank Swadesi,146
Bank Syariah Mandiri,Bank Syariah Mandiri,451
Bank Syariah Mega Indonesia,Bank Syariah Mega Indonesia,506
Bank UIB,Bank UIB,536
Bank UOB Buana,Bank UOB Buana,23
Standard Chartered Bank,Standard Chartered Bank,50
