Force Accounting Date,Inventory Reference,Inventories/Location,Inventories / Product,Inventories / ProductName,Inventories / Checked Quantity,Inventories / Product Unit of Measure
2019-01-01,beginning balance,Physical Locations/WH/Stock,13170-0001,Wafer Tango Pandan 171 Gr,178,Pcs
,,Physical Locations/WH/Stock,13170-0002,Yuppy Apple 120G,50,Pcs
,,Physical Locations/WH/Stock,13170-0003,Alfredo 4 Season 200Gr,20,Pcs
,,Physical Locations/WH/Stock,13170-0004,Alfredo Choco Milk & Dark 110G,20,Pcs
,,Physical Locations/WH/Stock,13170-0005,Alpenliebble Original With Mil,70,Pcs
,,Physical Locations/WH/Stock,13170-0006,Apollo Roka Reff 480Gr,52,Pcs
,,Physical Locations/WH/Stock,13170-0007,Apollo Roka Toples,97,Pcs
,,Physical Locations/WH/Stock,13170-0008,Astor Double 330 G,120,Pcs
,,Physical Locations/WH/Stock,13170-0009,Biskitop Durian 400Gr,123,Pcs
,,Physical Locations/WH/Stock,13170-0010,Biskitop Traditional 1500G,10,Pcs
,,Physical Locations/WH/Stock,13170-0011,Cadbury Dairi Milk Almond Nut,50,Pcs
,,Physical Locations/WH/Stock,13170-0012,Cavalier Choco Milk 44 Gr,150,Pcs
,,Physical Locations/WH/Stock,13170-0013,Cha Cha Coklat 85G,40,Pcs
,,Physical Locations/WH/Stock,13170-0014,Champ Hicken Ball 200G,150,Pcs
,,Physical Locations/WH/Stock,13170-0015,Chitato Chicken Bbq 40G,120,Pcs
,,Physical Locations/WH/Stock,13170-0016,Chitato Chicken Bbq 75G,16,Pcs
,,Physical Locations/WH/Stock,13170-0017,Coco Almonds 100 Gr,20,Pcs
,,Physical Locations/WH/Stock,13170-0018,Coco Creamy Milk 100Gr,232,Pcs
,,Physical Locations/WH/Stock,13170-0019,Coco Fruit & Nuts 100Gr,59,Pcs
,,Physical Locations/WH/Stock,13170-0020,Coco Hazelnuts 100Gr,211,Pcs
,,Physical Locations/WH/Stock,13170-0021,Coco Multi Pack 3X50Gr,371,Pcs
,,Physical Locations/WH/Stock,13170-0022,Coco Multi Pack Assorted 100G,260,Pcs
,,Physical Locations/WH/Stock,13170-0023,Coco Multi Pak Assor Bar 100Gr,46,Pcs
