"ID","Name","City","Country","Customer","Email","Fax","Is a Company","Mobile","Phone","Internal Reference","State","Street","Street2","Supplier","Zip","Account Payable","Account Receivable","NPWP","Kecamatan","Kelurahan","Kota/Kab"
"partner_1","ABDI SEJAHTERA CV","Semarang","Indonesia","TRUE","sejahterai@gmail.com","89029001","TRUE","9355234","2880898","A-00001",,"Ahmad Yani",,"TRUE","42111","2-110001","1-121001","31.364.005.4-603.000",,,"KOTA SEMARANG"
"partner_2","BERDIKARI. UD","Bandung","Indonesia","TRUE","berdikari.ud@gmail.com","4272633","TRUE","3560539","2438130","B-00001",,"Sudirman",,"TRUE","29751","2-110001","1-121001","31.546.782.9-414.000",,,"KOTA BANDUNG"
"partner_3","CAHAYA BAKERY","Bandung","Indonesia","TRUE","cahayabakery@gmail.com","2135942","TRUE","6553065","7355536","C-00001",,"Diponegoro",,"TRUE","26096","2-110001","1-121001","03.026.562.3-805.000",,,"KABUPATEN BANDUNG"
"partner_4","FAJAR PUTRA UTAMA","Bandung","Indonesia","TRUE","fajarputrautama@gmail.com","5139641","TRUE","7153943","7077688","F-00001",,"Tendean",,"TRUE","26678","2-110001","1-121001","02.775.435.7-518.000",,,"KOTA BANDUNG"
"partner_5","FAUZIAH","Medan","Indonesia","TRUE","fauziah@gmail.com","4743307","TRUE","3369469","7283763","F-00002",,"Juanda",,"TRUE","37764","2-110001","1-121001","09.254.294.3-407.000",,,"KOTA MEDAN"
"partner_6","HENRA","Medan","Indonesia","TRUE","henra@gmail.com","4048645","TRUE","2872607","5544232","H-00001",,"Cut Nyak Din",,"TRUE","35330","2-110001","1-121001","03.123.304.2-503.000",,,"KOTA MEDAN"
"partner_7","HERMANUS","Medan","Indonesia","TRUE","hermanus@gmail.com","3107592","TRUE","3341896","5304485","H-00002",,"Cut Meutia",,"TRUE","38315","2-110001","1-121001",,,,"KOTA MEDAN"
"partner_8","INDO PANGAN SENTOSA, CV","Bandung","Indonesia","TRUE","indopangansentosa,cv@gmail.com","3070526","TRUE","6954743","2435068","I-00001",,"Imam Bonjol",,"TRUE","54865","2-110001","1-121001",,,,"KOTA BANDUNG"
"partner_9","INDOPRIMA","Bandung","Indonesia","TRUE","indoprima@gmail.com","2303214","TRUE","6887562","6263615","I-00002",,"Hasanudin",,"TRUE","37148","2-110001","1-121001",,,,"KOTA BANDUNG"
"partner_10","INTI MANDIRI SUKSES CV","Bandung","Indonesia","TRUE","intimandirisuksescv@gmail.com","7932210","TRUE","3617514","2870576","I-00003",,"Teuku Umar",,"TRUE","56796","2-110001","1-121001",,,,"KOTA BANDUNG"
"partner_11","JACLYN CAKE","Bandung","Indonesia","TRUE","jaclyncake@gmail.com","4046614","TRUE","1404194","7101648","J-00001",,"Sisingamangaraja",,"TRUE","35546","2-110001","1-121001",,,,"KOTA BANDUNG"
"partner_12","KISEL","Bandung","Indonesia","TRUE","kisel@gmail.com","6602798","TRUE","8000388","3688838","K-00001",,"Ahmad Yani",,"TRUE","59046","2-110001","1-121001",,,,"KOTA BANDUNG"
"partner_13","LANCAR SEJATI UD","Bandung","Indonesia","TRUE","lancarsejatiud@gmail.com","3187543","TRUE","1610944","7924905","L-00001",,"Sudirman",,"TRUE","57084","2-110001","1-121001",,,,"KOTA BANDUNG"
"partner_14","LUCKY, CV","Bandung","Indonesia","TRUE","luckycv@gmail.com","2276721","TRUE","6175119","6190665","L-00002",,"Diponegoro",,"TRUE","50056","2-110001","1-121001",,,,"KOTA BANDUNG"
"partner_15","MAHMUD, H","Medan","Indonesia","TRUE","mahmudh@gmail.com","5500569","TRUE","8504355","5442249","M-00001",,"Tendean",,"TRUE","33841","2-110001","1-121001",,,,"KOTA MEDAN"
"partner_16","MAKMUR SEJAHTERA. CV","Bandung","Indonesia","TRUE","makmursejahtera.cv@gmail.com","6720478","TRUE","3336194","6745508","M-00002",,"Juanda",,"TRUE","27616","2-110001","1-121001",,,,"KOTA BANDUNG"
"partner_17","MARLIA","Surabaya","Indonesia","FALSE","marlia@gmail.com","6317121","TRUE","2458365","7451882","M-00003",,"Sisingamangaraja",,"TRUE","53339","2-110001","1-121001",,,,"KOTA SURABAYA"
"partner_18","MILENIUM TOKO","Surabaya","Indonesia","FALSE","mileniumtoko@gmail.com","4608210","TRUE","5750275","6621377","M-00004",,"Sudirman",,"TRUE","26528","2-110001","1-121001",,,,"KOTA SURABAYA"
"partner_19","MITRADAYA DISTRIBUSINDO","Surabaya","Indonesia","FALSE","mitradayadistribusindo@gmail.com","5899473","TRUE","5282574","5387288","M-00005",,"Juanda",,"TRUE","24397","2-110001","1-121001",,,,"KOTA SURABAYA"
"partner_20","MUHAMAD ARDHIANTO","Surabaya","Indonesia","FALSE","muhamadardhianto@gmail.com","6140211","TRUE","9605602","3883060","M-00006",,"Imam Bonjol",,"TRUE","35686","2-110001","1-121001",,,,"KOTA SURABAYA"
